# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.03728659204552065, 0.214485821643566], "elapsed_s": 267.22774540202226, "export_audit": {"max_axle_friction_ratio": 1.0000000000000082, "maximum_steering_rad": 0.33882085323190164, "minimum_body_clearance_above_reserve_m": 0.002766721944067685, "normalized_physical_violation": 8.215650382226158e-15, "samples": 2160}, "export_relative_time_change": 0.003308593632277015, "exported_time_s": 6.978163140427508, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 8.40271868013387e-06, "mesh_checks": [{"dense_normalized_violation": 0.019417143391516484, "dense_time_relative_change": 4.592927090963659e-05, "iterations": 186, "samples": 368, "time_s": 6.95114891988296}, {"dense_normalized_violation": 0.015684555735077585, "dense_time_relative_change": 2.215020624866369e-05, "iterations": 44, "samples": 407, "time_s": 6.954733368411144}, {"dense_normalized_violation": 0.0027926370502104753, "dense_time_relative_change": 1.455140069094873e-05, "iterations": 44, "samples": 434, "time_s": 6.95520190369207}, {"dense_normalized_violation": 8.748488061336106e-05, "dense_time_relative_change": 1.42978268326e-05, "iterations": 47, "samples": 454, "time_s": 6.95524937214508}, {"dense_normalized_violation": 9.19741443628661e-07, "dense_time_relative_change": 1.4285520417603759e-05, "iterations": 44, "samples": 456, "time_s": 6.955250730266575}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 9.393790798110243e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 92, "requested_margin_m": 0.4, "solved_time_s": 6.955151370890258, "solver_message": "Optimization terminated successfully", "status": "converged"}
4.143432284558261181e+00,8.700687889371902628e+00,6.714687918482420415e+00,-6.530266918096874762e-02
4.137817666783351278e+00,8.666229165785773958e+00,6.733519928981085201e+00,-3.116507888099090059e-02
4.132165783984493856e+00,8.631777939631005481e+00,6.752229353743715023e+00,3.042348116432602115e-03
4.126517463909096683e+00,8.597325524549724207e+00,6.770698754759307825e+00,3.517732714634773383e-02
4.120910365479365289e+00,8.562859445209047848e+00,6.788825786143366514e+00,6.351779710266312884e-02
4.115381404466473825e+00,8.528391551131916160e+00,6.806513866722655237e+00,8.697818455258411741e-02
4.109956898808836634e+00,8.493905588955907859e+00,6.821162894726398918e+00,1.039528273193419255e-01
4.104656826701378769e+00,8.459395217122178678e+00,6.815829739862123482e+00,1.140650529954385928e-01
4.099494113263236983e+00,8.424863174179414216e+00,6.810625002651979010e+00,1.228341438246923767e-01
4.094479457221118501e+00,8.390308657961094596e+00,6.801578810561593080e+00,1.313910580141565143e-01
4.089623213647040068e+00,8.355730296542231983e+00,6.776183288422568118e+00,1.399438543414945335e-01
4.084935770120167398e+00,8.321126924164593319e+00,6.752117868174406290e+00,1.486589264200481875e-01
4.080429034934550891e+00,8.286507657692446571e+00,6.729574362535089449e+00,1.576794377834936645e-01
4.076112718911274690e+00,8.251862294554451083e+00,6.708791922108416905e+00,1.671360055150953594e-01
4.071998274897879355e+00,8.217189179272692101e+00,6.690097034448008628e+00,1.771556277309750960e-01
4.068098167002935917e+00,8.182489293367309457e+00,6.673932559601039927e+00,1.878656102537151207e-01
4.064426385275615949e+00,8.147770558854329437e+00,6.660918697294511581e+00,1.994014043720894469e-01
4.060996100110327411e+00,8.113024080182405839e+00,6.651555178994336792e+00,2.108310076592752047e-01
4.057821638333916958e+00,8.078252775351446147e+00,6.643225882582306951e+00,2.141773075672372961e-01
4.054907454960626545e+00,8.043460764192891688e+00,6.643225882582306951e+00,2.134440984863354984e-01
4.052252567366872782e+00,8.008647191941120624e+00,6.643584830222496684e+00,2.129091299990946984e-01
4.049856491613288867e+00,7.973814052903951399e+00,6.644191209915165430e+00,2.125994914621799625e-01
4.047719126096209763e+00,7.938965465173236424e+00,6.639931850280177628e+00,2.125117236042511903e-01
4.045840347537636994e+00,7.904101292540796742e+00,6.630885907361248499e+00,2.126433164509746454e-01
4.044220453029132578e+00,7.869223870877342542e+00,6.621664156725479700e+00,2.129926772508300981e-01
4.042859992981173711e+00,7.834335948592843657e+00,6.612342355096477498e+00,2.135591080934040875e-01
4.041759694242264445e+00,7.799438514618246110e+00,6.603064092923237816e+00,2.143427840474140533e-01
4.040920589422823284e+00,7.764533919934843098e+00,6.593922368812023649e+00,2.153447550865870419e-01
4.040343941749907408e+00,7.729623873575533821e+00,6.585002930313406111e+00,2.165669269661610885e-01
4.040031278178784824e+00,7.694710644739966909e+00,6.576364163859611089e+00,2.179255299140984148e-01
4.039984269026268393e+00,7.659796088541080294e+00,6.576364163859611089e+00,2.185652810429015158e-01
4.040203698722526937e+00,7.624881955934847078e+00,6.573858440465390807e+00,2.187323297445968873e-01
4.040689751625300197e+00,7.589970950969992636e+00,6.567645526166898229e+00,2.189239305671464575e-01
4.041442641443608430e+00,7.555064386609174676e+00,6.567645526166898229e+00,2.191473492304246151e-01
4.042462596673281006e+00,7.520164507386760455e+00,6.559534509481456332e+00,2.194029080939147447e-01
4.043749848499729183e+00,7.485273924522410027e+00,6.554761437632372179e+00,2.196909344188633928e-01
4.045304705673693491e+00,7.450393790172803676e+00,6.549507469484153965e+00,2.200117591354016910e-01
4.047127451362369399e+00,7.415526646306515701e+00,6.546081178765296826e+00,2.203657178301171859e-01
4.049218378839797516e+00,7.380675037875962907e+00,6.537550950449272591e+00,2.207531514230738068e-01
4.051577897815348273e+00,7.345840034853126532e+00,6.537550950449272591e+00,2.211744050526180116e-01
