# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.22250000000000003, 0.4], "elapsed_s": 68.84690996498102, "export_relative_time_change": -0.020226038907830837, "exported_time_s": 11.50334112774894, "global_optimum_proven": false, "kkt_stationarity": 9.216596923654257e-06, "mesh_checks": [{"dense_normalized_violation": 0.02167510757173594, "dense_time_relative_change": 0.00017802011576368472, "iterations": 39, "samples": 336, "time_s": 11.729208414528397}, {"dense_normalized_violation": 0.005824461986172812, "dense_time_relative_change": 0.00014022956799437876, "iterations": 32, "samples": 377, "time_s": 11.740989811066786}, {"dense_normalized_violation": 0.001342924253240874, "dense_time_relative_change": 0.00013207050485529594, "iterations": 32, "samples": 400, "time_s": 11.742118283153637}, {"dense_normalized_violation": 0.0002595167155455656, "dense_time_relative_change": 0.00013154417923384637, "iterations": 25, "samples": 417, "time_s": 11.742354310545275}, {"dense_normalized_violation": 6.936401990641288e-06, "dense_time_relative_change": 0.00013142942340977614, "iterations": 20, "samples": 421, "time_s": 11.74235452343244}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 2.582783898209609e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_controls": 84, "requested_margin_m": 0.4, "solved_time_s": 11.740811232547951, "solver_message": "Optimization terminated successfully", "status": "converged"}
-4.153790191407504295e+01,5.962550260789464263e-01,8.610150558700105705e+00,6.215284517204187897e-02
-4.147108130602953224e+01,6.298440029016536545e-01,8.654034745145708030e+00,6.218630018636582546e-02
-4.140441763417968701e+01,6.637433816025741784e-01,8.697422625218480974e+00,6.222189799467427174e-02
-4.133791243144120386e+01,6.979526060387588604e-01,8.740292076755105555e+00,6.225963931213548963e-02
-4.127156723530255533e+01,7.324711227310649608e-01,8.782648363981408579e+00,6.229948664346962595e-02
-4.120538358788308386e+01,7.672983805677285885e-01,8.824504409352057266e+00,6.233832287140177175e-02
-4.113936302787798382e+01,8.024338153107822835e-01,8.865872617744770423e+00,6.237175264640358596e-02
-4.107350707879359675e+01,8.378768279766418692e-01,8.906764904629186574e+00,6.240443276988619919e-02
-4.100781726086098899e+01,8.736268079717959267e-01,8.947192722322133918e+00,6.243732433558773359e-02
-4.094229509350993368e+01,9.096831378385757949e-01,8.987167084480251589e+00,6.247042445197707738e-02
-4.087694209533910339e+01,9.460451932257154528e-01,9.026698588961810543e+00,6.250373001880600576e-02
-4.081175978408517580e+01,9.827123428580352149e-01,9.065797439191817020e+00,6.253723770792521397e-02
-4.074674967659075975e+01,1.019683948505184290e+00,9.104473464147780248e+00,6.257094397307744194e-02
-4.068191328877114898e+01,1.056959364949508151e+00,9.142736137072821734e+00,6.260484506722474585e-02
-4.061725213557990344e+01,1.094537939953159844e+00,9.180594593013250204e+00,6.263893699046385599e-02
-4.055276773097314447e+01,1.132419014224192333e+00,9.218037624165120292e+00,6.266925190683494962e-02
-4.048846157652429412e+01,1.170601902337662814e+00,9.255080491668477904e+00,6.264875438552583442e-02
-4.042433502558936453e+01,1.209085667410793041e+00,9.291745368867241339e+00,6.258949990506718075e-02
-4.036038931391802720e+01,1.247869181359317237e+00,9.328038265332425638e+00,6.252771020401119706e-02
-4.029662566191598927e+01,1.286951299840665586e+00,9.363964564401531021e+00,6.246461046235564363e-02
-4.023304527801143138e+01,1.326330868279197883e+00,9.399529568224405551e+00,6.240022153782753822e-02
-4.016964935859859764e+01,1.366006722091839487e+00,9.434670874248190842e+00,6.247706206280420616e-02
-4.010643951550356689e+01,1.405978359556940616e+00,9.469509804663218233e+00,6.230896004458074539e-02
-4.004341662437428795e+01,1.446244114515095269e+00,9.504022817045706617e+00,6.219969356103158264e-02
-3.998058172263728238e+01,1.486802598896751704e+00,9.538195064713445248e+00,6.213014926577498098e-02
-3.991793595737571820e+01,1.527652609295454766e+00,9.572033508424571124e+00,6.205532758530353521e-02
-3.985548045074786927e+01,1.568792914351525791e+00,9.605656520404332710e+00,6.096011086541908153e-02
-3.979321314926266950e+01,1.610217531566307869e+00,9.638969489637965182e+00,5.642472456913730922e-02
-3.973112119985074031e+01,1.651904544301442179e+00,9.671978175759388563e+00,5.109738257348240414e-02
-3.966918900057459751e+01,1.693828538574164044e+00,9.704688165296753155e+00,4.577001808763933588e-02
